Location,Year,Rural TFR,Urban TFR
Karnataka,1996,2.799999952316284,2.0999999046325684
Karnataka,1997,2.700000047683716,2.0999999046325684
Karnataka,1998,2.5999999046325684,2
Karnataka,1999,2.700000047683716,2
Karnataka,2000,2.5999999046325684,2
Karnataka,2001,2.5999999046325684,2
Karnataka,2002,2.5999999046325684,1.899999976158142
Karnataka,2003,2.5,1.899999976158142
Karnataka,2004,2.5,1.7999999523162842
Karnataka,2005,2.5,1.7999999523162842
Karnataka,2006,2.299999952316284,1.7000000476837158
Karnataka,2007,2.299999952316284,1.7000000476837158
Karnataka,2008,2.200000047683716,1.7999999523162842
Karnataka,2009,2.200000047683716,1.7000000476837158
Karnataka,2010,2.0999999046325684,1.7000000476837158
Karnataka,2011,2,1.7000000476837158
Karnataka,2012,2,1.7000000476837158
Karnataka,2013,2,1.600000023841858
Karnataka,2014,1.899999976158142,1.7000000476837158
Karnataka,2015,1.899999976158142,1.7000000476837158
Karnataka,2016,1.899999976158142,1.600000023841858
Karnataka,2017,1.7999999523162842,1.600000023841858
Karnataka,2018,1.7999999523162842,1.600000023841858
Karnataka,2019,1.7000000476837158,1.5
Karnataka,2020,1.7000000476837158,1.399999976158142
Karnataka,2021,1.7000000476837158,1.5
Karnataka,2022,1.7000000476837158,1.5
Karnataka,2023,1.7000000476837158,1.399999976158142
Kerala,1971,4.199999809265137,3.799999952316284
Kerala,1972,4.199999809265137,3.5999999046325684
Kerala,1973,3.9000000953674316,3.299999952316284
Kerala,1974,3.299999952316284,3
Kerala,1975,3.4000000953674316,3.0999999046325684
Kerala,1976,3.5,2.9000000953674316
Kerala,1977,3.0999999046325684,2.5999999046325684
Kerala,1978,3,2.700000047683716
Kerala,1979,3.0999999046325684,2.5999999046325684
Kerala,1980,3.0999999046325684,2.5999999046325684
Kerala,1981,2.9000000953674316,2.4000000953674316
Kerala,1982,3,2.5999999046325684
Kerala,1983,2.799999952316284,2.5
Kerala,1984,2.4000000953674316,2.4000000953674316
Kerala,1985,2.4000000953674316,2.299999952316284
Kerala,1986,2.299999952316284,2.200000047683716
Kerala,1987,2.200000047683716,2.200000047683716
Kerala,1988,2,2.0999999046325684
Kerala,1989,2.0999999046325684,1.7999999523162842
Kerala,1990,1.899999976158142,1.899999976158142
Kerala,1991,1.7999999523162842,1.7000000476837158
Kerala,1992,1.7000000476837158,1.7000000476837158
Kerala,1993,1.7000000476837158,1.7000000476837158
Kerala,1994,1.7000000476837158,1.7999999523162842
Kerala,1995,1.899999976158142,1.7999999523162842
Kerala,1996,1.7999999523162842,1.7999999523162842
Kerala,1997,1.7999999523162842,1.7999999523162842
Kerala,1998,1.7999999523162842,1.899999976158142
Kerala,1999,1.7999999523162842,1.7999999523162842
Kerala,2000,1.899999976158142,1.7999999523162842
Kerala,2001,1.7999999523162842,1.7000000476837158
Kerala,2002,1.7999999523162842,1.7000000476837158
Kerala,2003,1.7999999523162842,1.7000000476837158
Kerala,2004,1.7999999523162842,1.7000000476837158
Kerala,2005,1.7000000476837158,1.7000000476837158
Kerala,2006,1.7000000476837158,1.7000000476837158
Kerala,2007,1.7000000476837158,1.7000000476837158
Kerala,2008,1.7000000476837158,1.7000000476837158
Kerala,2009,1.7000000476837158,1.7999999523162842
Kerala,2010,1.7999999523162842,1.7999999523162842
Kerala,2011,1.899999976158142,1.7999999523162842
Kerala,2012,1.899999976158142,1.7999999523162842
Kerala,2013,1.899999976158142,1.7999999523162842
Kerala,2014,1.899999976158142,1.7999999523162842
Kerala,2015,1.7999999523162842,1.7999999523162842
Kerala,2016,1.7999999523162842,1.7999999523162842
Kerala,2017,1.7000000476837158,1.7000000476837158
Kerala,2018,1.7000000476837158,1.7000000476837158
Kerala,2019,1.600000023841858,1.600000023841858
Kerala,2020,1.5,1.5
Kerala,2021,1.5,1.600000023841858
Kerala,2022,1.5,1.5
Kerala,2023,1.5,1.5
Madhya Pradesh,1971,6.099999904632568,4.699999809265137
Madhya Pradesh,1972,6.199999809265137,4.400000095367432
Madhya Pradesh,1973,5.800000190734863,4.300000190734863
Madhya Pradesh,1974,5.599999904632568,4.300000190734863
Madhya Pradesh,1975,6.300000190734863,4.300000190734863
Madhya Pradesh,1976,6.099999904632568,4.400000095367432
Madhya Pradesh,1977,5.800000190734863,4.099999904632568
Madhya Pradesh,1978,5.599999904632568,3.700000047683716
Madhya Pradesh,1979,5.699999809265137,3.799999952316284
Madhya Pradesh,1980,5.5,4
Madhya Pradesh,1981,5.5,3.9000000953674316
Madhya Pradesh,1982,5.599999904632568,4.199999809265137
Madhya Pradesh,1983,5.5,4
Madhya Pradesh,1984,5.400000095367432,4
Madhya Pradesh,1985,5.599999904632568,4
Madhya Pradesh,1986,5.400000095367432,3.5
Madhya Pradesh,1987,5,3.799999952316284
Madhya Pradesh,1988,5.099999904632568,3.299999952316284
Madhya Pradesh,1989,5.099999904632568,3.200000047683716
Madhya Pradesh,1990,5.099999904632568,3.4000000953674316
Madhya Pradesh,1991,4.900000095367432,3.4000000953674316
Madhya Pradesh,1992,4.699999809265137,3
Madhya Pradesh,1993,4.599999904632568,2.9000000953674316
Madhya Pradesh,1994,4.599999904632568,2.799999952316284
Madhya Pradesh,1995,4.599999904632568,2.700000047683716
Madhya Pradesh,1996,4.400000095367432,2.5
Madhya Pradesh,1997,4.300000190734863,2.5
Madhya Pradesh,1998,4.099999904632568,2.5999999046325684
Madhya Pradesh,1999,4.300000190734863,2.5999999046325684
Madhya Pradesh,2000,4.5,2.5999999046325684
Madhya Pradesh,2001,4.300000190734863,2.5
Madhya Pradesh,2002,4.199999809265137,2.5
Madhya Pradesh,2003,4.099999904632568,2.4000000953674316
Madhya Pradesh,2004,4.099999904632568,2.700000047683716
Madhya Pradesh,2005,4,2.5
Madhya Pradesh,2006,3.9000000953674316,2.4000000953674316
Madhya Pradesh,2007,3.700000047683716,2.299999952316284
Madhya Pradesh,2008,3.5999999046325684,2.200000047683716
Madhya Pradesh,2009,3.5999999046325684,2.299999952316284
Madhya Pradesh,2010,3.5,2.200000047683716
Madhya Pradesh,2011,3.299999952316284,2.0999999046325684
Madhya Pradesh,2012,3.0999999046325684,2
Madhya Pradesh,2013,3.0999999046325684,2
Madhya Pradesh,2014,3.0999999046325684,2.0999999046325684
Madhya Pradesh,2015,3,2.0999999046325684
Madhya Pradesh,2016,3.0999999046325684,2.0999999046325684
Madhya Pradesh,2017,3,2.0999999046325684
Madhya Pradesh,2018,3,2.0999999046325684
Madhya Pradesh,2019,2.9000000953674316,2
Madhya Pradesh,2020,2.799999952316284,1.899999976158142
Madhya Pradesh,2021,2.799999952316284,1.899999976158142
Madhya Pradesh,2022,2.700000047683716,1.899999976158142
Madhya Pradesh,2023,2.5999999046325684,1.7999999523162842
Maharashtra,1972,4.800000190734863,3.799999952316284
Maharashtra,1973,4.199999809265137,3.5999999046325684
Maharashtra,1974,4.099999904632568,3.700000047683716
Maharashtra,1975,4.300000190734863,3.700000047683716
Maharashtra,1976,4.199999809265137,3.299999952316284
Maharashtra,1977,3.5,3.0999999046325684
Maharashtra,1978,3.700000047683716,3.0999999046325684
Maharashtra,1979,3.799999952316284,3
Maharashtra,1980,4,3
Maharashtra,1981,4,3
Maharashtra,1982,4.099999904632568,3.200000047683716
Maharashtra,1983,4.199999809265137,3.0999999046325684
Maharashtra,1984,4.099999904632568,3.299999952316284
Maharashtra,1985,3.799999952316284,3.0999999046325684
