ID,TD_,MD_,FD_,CDR_,LEB_,MLE_,FLE_,LEA_15,MLE_15,FLE_15,LEA_65,MLE_65,FLE_65,LEA_80,MLE_80,FLE_80,IDA_,IMR_,LBS_,FDA_5,FM_,MA4_40,MMA_40,FMA_40,MA6_60,MMA_60,FMA_60,MA1_15_50,MMA_15_50,FMA_15_50,MA1_15_60,MMA_15_60,FMA_15_60
95,9818,5200,4618,11.9,56.8,54.9,58.8,50.6,48.7,52.6,11.0,9.8,12.0,4.6,4.1,4.8,2425,77.5,29744.533,3416,111,212,222,200,389,423,353,156,171,139,290,326,251
96,9487,5003,4483,11.2,57.7,55.9,59.6,51.2,49.3,53.0,11.2,10.1,12.1,4.7,4.3,4.9,2246,74.3,28093.394,3186,105,202,212,191,374,406,340,148,163,133,278,312,242
97,9169,4839,4330,10.6,58.6,56.7,60.5,51.7,49.8,53.5,11.4,10.2,12.4,4.8,4.3,5.0,2056,71.0,27119.108,2942,100,193,203,182,360,392,327,142,157,127,268,301,233
98,8835,4686,4149,10.0,59.5,57.6,61.5,52.2,50.3,54.2,11.7,10.4,12.6,4.9,4.4,5.2,1893,67.7,26253.208,2706,95,183,194,172,345,378,311,136,151,120,256,290,221
99,8544,4558,3986,9.5,60.2,58.2,62.3,52.6,50.6,54.7,11.8,10.5,12.9,5.0,4.4,5.3,1690,64.5,24354.625,2424,90,175,186,163,334,367,298,131,147,114,249,283,212
100,8241,4408,3833,9.0,61.0,58.9,63.1,53.0,50.9,55.1,12.0,10.7,13.0,5.1,4.5,5.4,1462,61.5,22018.623,2117,85,167,179,155,323,357,287,127,143,109,241,276,204
101,8191,4361,3830,8.8,61.2,59.2,63.3,53.0,51.1,55.1,12.1,10.8,13.1,5.1,4.5,5.5,1311,58.8,21016.218,1905,81,165,175,154,320,351,286,128,142,112,240,273,206
102,7728,4148,3580,8.2,62.5,60.3,64.7,53.8,51.7,55.9,12.3,11.0,13.4,5.2,4.6,5.6,1145,55.2,19444.738,1634,75,151,162,138,299,333,263,117,133,100,225,259,189
103,7590,4079,3511,7.9,63.1,60.9,65.3,54.1,52.0,56.3,12.4,11.1,13.5,5.3,4.6,5.7,1065,52.5,19405.916,1489,71,144,155,132,290,323,254,113,129,96,219,252,183
104,7534,4053,3481,7.8,63.7,61.5,66.0,54.4,52.3,56.6,12.6,11.2,13.7,5.4,4.7,5.8,1051,50.1,20301.79,1422,67,138,149,126,281,313,245,110,125,93,213,245,178
